,Quarter,Tm,Detail,SEA,MIN
0,1.0,Vikings,Brent McClanahan 1 yard rush (Fred Cox kick),0,7
1,1.0,Seahawks,Jim Zorn 12 yard rush (John Leypoldt kick),7,7
2,2.0,Vikings,Sammy White 29 yard pass from Fran Tarkenton (Fred Cox kick),7,14
3,3.0,Seahawks,Steve Raible 80 yard pass from Jim Zorn (John Leypoldt kick),14,14
4,3.0,Vikings,Fred Cox 43 yard field goal,14,17
5,3.0,Vikings,Fred Cox 39 yard field goal,14,20
6,4.0,Seahawks,Sam McCullum 7 yard pass from Jim Zorn (John Leypoldt kick),21,20
7,4.0,Vikings,Stu Voigt 5 yard pass from Fran Tarkenton (Fred Cox kick),21,27
