,Quarter,Tm,Detail,MIA,NWE
0,1.0,Dolphins,Uwe von Schamann 53 yard field goal,3,0
1,1.0,Dolphins,Bruce Hardy 13 yard pass from Bob Griese (Uwe von Schamann kick),10,0
2,2.0,Dolphins,Uwe von Schamann 40 yard field goal,13,0
3,2.0,Patriots,Horace Ivory 1 yard rush (John Smith kick),13,7
4,3.0,Patriots,Sam Cunningham 1 yard rush (John Smith kick),13,14
5,4.0,Patriots,Ray Jarvis 15 yard pass from Steve Grogan (John Smith kick),13,21
6,4.0,Patriots,Mike Hawkins 35 yard interception return (John Smith kick),13,28
