,Quarter,Tm,Detail,CRD,CHI
0,1.0,Bears,Beattie Feathers 4 yard rush,0,6
1,3.0,Bears,Jack Manders 63 yard pass from Bernie Masterson (Jack Manders kick),0,13
2,3.0,Bears,Jack Manders 13 yard field goal,0,16
3,4.0,Cardinals,Buddy Parker 1 yard rush (Bill May kick),7,16
