,Quarter,Tm,Detail,SEA,DEN
0,1.0,Seahawks,Daryl Turner 20 yard pass from Dave Krieg (Norm Johnson kick),7,0
1,1.0,Broncos,Steve Sewell 72 yard pass from John Elway (Rich Karlis kick),7,7
2,1.0,Seahawks,Curt Warner 10 yard pass from Dave Krieg (Norm Johnson kick),14,7
3,2.0,Seahawks,Norm Johnson 25 yard field goal,17,7
4,2.0,Broncos,Rich Karlis 37 yard field goal,17,10
5,2.0,Broncos,Rich Karlis 42 yard field goal,17,13
6,2.0,Broncos,Steve Watson 4 yard pass from John Elway (Rich Karlis kick),17,20
7,3.0,Broncos,Orson Mobley 5 yard pass from John Elway (Rich Karlis kick),17,27
8,3.0,Broncos,Vance Johnson 59 yard pass from John Elway (Rich Karlis kick),17,34
9,4.0,Broncos,Rich Karlis 25 yard field goal,17,37
10,4.0,Broncos,Rich Karlis 29 yard field goal,17,40
