,Quarter,Time,Tm,Detail,SFO,PIT
0,1.0,,49ers,Jerry Rice 4 yard pass from Steve Young (Jeff Wilkins kick),7,0
1,1.0,,49ers,"Safety, B. Young sacked Tomczak in end zone",9,0
2,1.0,,49ers,William Floyd 4 yard pass from Steve Young (Jeff Wilkins kick),16,0
3,2.0,,49ers,Terrell Owens 20 yard pass from Steve Young,22,0
4,3.0,,Steelers,Jerome Bettis 1 yard rush (Charles Johnson pass from Mike Tomczak),22,8
5,4.0,,49ers,Jeff Wilkins 22 yard field goal,25,8
6,4.0,,Steelers,Kordell Stewart 42 yard pass from Mike Tomczak (Norm Johnson kick),25,15
