,Quarter,Tm,Detail,GNB,SFO
0,1.0,Packers,Don Majkowski 2 yard rush (Chris Jacke kick),7,0
1,1.0,49ers,Roger Craig 4 yard pass from Joe Montana (Mike Cofer kick),7,7
2,2.0,Packers,Sterling Sharpe 4 yard pass from Don Majkowski (Chris Jacke kick),14,7
3,2.0,49ers,Jerry Rice 9 yard pass from Joe Montana (Mike Cofer kick),14,14
4,4.0,Packers,Don Majkowski 8 yard rush (Chris Jacke kick),21,14
5,4.0,49ers,Mike Cofer 44 yard field goal,21,17
