,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Patriots,Russ Francis 33 yard pass from Steve Grogan (John Smith kick),0,7
1,1.0,Patriots,Roland James 75 yard punt return (John Smith kick),0,14
2,1.0,Patriots,John Smith 21 yard field goal,0,17
3,2.0,Patriots,Stanley Morgan 9 yard pass from Steve Grogan (John Smith kick),0,24
4,2.0,Jets,Jerome Barkum 27 yard pass from Richard Todd (Pat Leahy kick),7,24
5,2.0,Jets,Bruce Harper 18 yard pass from Richard Todd (Pat Leahy kick),14,24
6,2.0,Patriots,Horace Ivory 1 yard rush (John Smith kick),14,31
7,3.0,Patriots,John Smith 27 yard field goal,14,34
8,4.0,Jets,Kevin Long 3 yard rush (Pat Leahy kick),21,34
