,Quarter,Time,Tm,Detail,ATL,NOR
0,1.0,11:11,Saints,Tommylee Lewis 28 yard pass from Drew Brees (Wil Lutz kick),0,7
1,1.0,2:35,Falcons,Matt Bryant 32 yard field goal,3,7
2,2.0,9:09,Saints,Wil Lutz 22 yard field goal,3,10
3,2.0,3:20,Saints,Austin Carr 12 yard pass from Drew Brees (Wil Lutz kick),3,17
4,3.0,5:59,Saints,Dan Arnold 25 yard pass from Drew Brees (Wil Lutz kick),3,24
5,3.0,0:22,Falcons,Calvin Ridley 2 yard pass from Matt Ryan (Matt Bryant kick),10,24
6,4.0,9:27,Saints,Keith Kirkwood 5 yard pass from Drew Brees (Wil Lutz kick),10,31
7,4.0,1:51,Falcons,Tevin Coleman 4 yard pass from Matt Ryan (Matt Bryant kick),17,31
