,Quarter,Time,Tm,Detail,JAX,DAL
0,1.0,10:46,Cowboys,David Buehler 34 yard field goal,0,3
1,1.0,7:50,Jaguars,Mike Sims-Walker 10 yard pass from David Garrard (Josh Scobee kick),7,3
2,2.0,9:43,Jaguars,Marcedes Lewis 42 yard pass from David Garrard (Josh Scobee kick),14,3
3,3.0,12:14,Jaguars,Mike Thomas 15 yard pass from David Garrard (Josh Scobee kick),21,3
4,3.0,9:01,Jaguars,Marcedes Lewis 9 yard pass from David Garrard (Josh Scobee kick),28,3
5,4.0,12:29,Cowboys,Marion Barber III 1 yard rush (David Buehler kick),28,10
6,4.0,5:50,Jaguars,David Garrard 2 yard rush (Josh Scobee kick),35,10
7,4.0,2:29,Cowboys,Jason Witten 8 yard pass from Jon Kitna (David Buehler kick),35,17
