,Quarter,Time,Tm,Detail,SEA,OAK
0,1.0,,Raiders,Cole Ford 47 yard field goal,0,3
1,1.0,,Raiders,"Safety, blocked punt through end zone",0,5
2,1.0,,Raiders,Cole Ford 23 yard field goal,0,8
3,2.0,,Raiders,Cole Ford 28 yard field goal,0,11
4,2.0,,Seahawks,Todd Peterson 45 yard field goal,3,11
5,2.0,,Raiders,Cole Ford 24 yard field goal,3,14
6,2.0,,Seahawks,Lamar Smith 27 yard rush (Todd Peterson kick),10,14
7,2.0,,Seahawks,Todd Peterson 52 yard field goal,13,14
8,3.0,,Seahawks,Joey Galloway 32 yard pass from Gino Torretta (Lamar Smith run),21,14
9,3.0,,Seahawks,Lamar Smith 3 yard rush (Todd Peterson kick),28,14
10,3.0,,Raiders,Derrick Fenner 2 yard rush (Cole Ford kick),28,21
