,Quarter,Time,Tm,Detail,IND,JAX
0,1.0,4:40,Colts,Marvin Harrison 9 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
1,2.0,14:11,Jaguars,Josh Scobee 27 yard field goal,7,3
2,2.0,9:21,Colts,Marvin Harrison 65 yard pass from Peyton Manning (Mike Vanderjagt kick),14,3
3,2.0,0:00,Colts,Mike Vanderjagt 40 yard field goal,17,3
4,3.0,8:14,Colts,Mike Vanderjagt 34 yard field goal,20,3
5,3.0,0:45,Colts,Mike Vanderjagt 38 yard field goal,23,3
6,4.0,12:13,Colts,Mike Vanderjagt 46 yard field goal,26,3
7,4.0,4:08,Jaguars,David Garrard 5 yard rush (Josh Scobee kick),26,10
8,4.0,1:54,Jaguars,Jimmy Smith 1 yard pass from David Garrard (David Garrard run),26,18
