,Quarter,Tm,Detail,TAM,SFO
0,2.0,49ers,Ray Wersching 28 yard field goal,0,3
1,2.0,Buccaneers,Dave Green 35 yard field goal,3,3
2,4.0,49ers,Ray Wersching 30 yard field goal,3,6
