,Quarter,Time,Tm,Detail,MIA,CHI
0,1.0,0:04,Bears,Robbie Gould 38 yard field goal,0,3
1,2.0,10:47,Dolphins,Marty Booker 5 yard pass from Joey Harrington (Olindo Mare kick),7,3
2,2.0,10:32,Dolphins,Jason Taylor 20 yard interception return (Olindo Mare kick),14,3
3,2.0,1:57,Bears,Muhsin Muhammad 30 yard pass from Rex Grossman (Robbie Gould kick),14,10
4,3.0,13:13,Dolphins,Wes Welker 6 yard pass from Joey Harrington (Olindo Mare kick),21,10
5,3.0,1:02,Bears,Robbie Gould 38 yard field goal,21,13
6,4.0,10:00,Dolphins,Chris Chambers 24 yard pass from Joey Harrington (Olindo Mare kick),28,13
7,4.0,1:09,Dolphins,Olindo Mare 20 yard field goal,31,13
