,Quarter,Tm,Detail,TAM,NYJ
0,1.0,Buccaneers,Kevin House 39 yard pass from Steve DeBerg (Donald Igwebuike kick),7,0
1,1.0,Buccaneers,Calvin Magee 7 yard pass from Steve DeBerg (Donald Igwebuike kick),14,0
2,1.0,Jets,Johnny Hector 2 yard rush (Pat Leahy kick),14,7
3,1.0,Jets,Wesley Walker 22 yard pass from Ken O'Brien (Pat Leahy kick),14,14
4,1.0,Jets,Pat Leahy 23 yard field goal,14,17
5,2.0,Jets,Mickey Shuler 11 yard pass from Ken O'Brien (Pat Leahy kick),14,24
6,2.0,Jets,Mickey Shuler 10 yard pass from Ken O'Brien (Pat Leahy kick),14,31
7,2.0,Buccaneers,James Wilder 2 yard rush (Donald Igwebuike kick),21,31
8,2.0,Jets,Mickey Shuler 8 yard pass from Ken O'Brien (Pat Leahy kick),21,38
9,2.0,Jets,Pat Leahy 27 yard field goal,21,41
10,3.0,Jets,Al Toon 78 yard pass from Ken O'Brien (Pat Leahy kick),21,48
11,3.0,Jets,Johnny Hector 7 yard rush (Pat Leahy kick),21,55
12,3.0,Buccaneers,James Wilder 1 yard rush (Donald Igwebuike kick),28,55
13,4.0,Jets,Tony Paige 1 yard rush (Pat Leahy kick),28,62
