,Quarter,Tm,Detail,PIT,NYG
0,1.0,Steelers,Mike Clark 44 yard field goal,3,0
1,1.0,Steelers,Mike Clark 10 yard field goal,6,0
2,2.0,Giants,Aaron Thomas 35 yard pass from Fran Tarkenton (Pete Gogolak kick),6,7
3,2.0,Giants,Randy Minniear 6 yard pass from Fran Tarkenton (Pete Gogolak kick),6,14
4,2.0,Steelers,Roy Jefferson 58 yard pass from Bill Nelsen (Mike Clark kick),13,14
5,3.0,Giants,Ernie Koy 1 yard rush (Pete Gogolak kick),13,21
6,3.0,Giants,Randy Minniear 1 yard rush (Pete Gogolak kick),13,28
7,4.0,Steelers,John Hilton 10 yard pass from Bill Nelsen (Mike Clark kick),20,28
