,Quarter,Tm,Detail,WAS,RAM
0,1.0,Redskins,Mark Moseley 42 yard field goal,3,0
1,1.0,Rams,David Hill 12 yard pass from Vince Ferragamo,3,6
2,1.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),10,6
3,2.0,Redskins,Charlie Brown 26 yard pass from Joe Theismann (Mark Moseley kick),17,6
4,2.0,Redskins,"Safety, Mann tackled Ferragamo in end zone",19,6
5,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),26,6
6,2.0,Redskins,Mark Moseley 33 yard field goal,29,6
7,3.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),36,6
8,3.0,Redskins,Mark Moseley 32 yard field goal,39,6
9,4.0,Redskins,Mark Moseley 19 yard field goal,42,6
10,4.0,Rams,Barry Redden 1 yard rush (Chuck Nelson kick),42,13
11,4.0,Rams,Mike Guman 3 yard pass from Jeff Kemp (Chuck Nelson kick),42,20
