,Quarter,Tm,Detail,BKN,CHI
0,3.0,Bears,George Wilson 15 yard pass from Solly Sherman (Jack Manders kick),0,7
1,3.0,Dodgers,Ace Parker 71 yard pass from Banks McFadden (Ace Parker kick),7,7
2,4.0,Bears,Joe Maniaci 27 yard rush,7,13
3,4.0,Bears,Bob Snyder 47 yard field goal,7,16
