,Quarter,Tm,Detail,IND,SDG
0,1.0,Chargers,Dan Fouts 1 yard rush (Vince Abbott kick),0,7
1,1.0,Colts,Bill Brooks 42 yard pass from Jack Trudeau (Dean Biasucci kick),7,7
2,2.0,Colts,Dean Biasucci 36 yard field goal,10,7
3,2.0,Colts,Dean Biasucci 41 yard field goal,13,7
4,4.0,Colts,Albert Bentley 3 yard rush (Dean Biasucci kick),20,7
