,Quarter,Tm,Detail,GNB,RAM
0,1.0,Packers,Clarke Hinkle 45 yard field goal,3,0
1,2.0,Rams,Johnny Drake 5 yard rush (Vic Spadaccini kick),3,7
2,3.0,Rams,Olie Cordill 6 yard pass from Parker Hall,3,13
3,4.0,Packers,Don Hutson 11 yard pass from Hal Van Every (Don Hutson kick),10,13
4,4.0,Packers,Clarke Hinkle 26 yard field goal,13,13
