,Quarter,Time,Tm,Detail,OAK,IND
0,1.0,8:57,Colts,James Mungro 1 yard pass from Peyton Manning (Matt Bryant kick),0,7
1,2.0,13:24,Colts,Reggie Wayne 35 yard pass from Peyton Manning (Matt Bryant kick),0,14
2,2.0,8:56,Raiders,Justin Fargas 1 yard rush (Sebastian Janikowski kick),7,14
3,2.0,2:30,Colts,Dallas Clark 4 yard pass from Peyton Manning (Matt Bryant kick),7,21
4,4.0,13:29,Colts,Edgerrin James 1 yard rush (Matt Bryant kick),7,28
5,4.0,6:14,Raiders,Courtney Anderson 21 yard pass from Kerry Collins (Sebastian Janikowski kick),14,28
6,4.0,1:48,Colts,Jason David 34 yard interception return (Matt Bryant kick),14,35
