,Quarter,Time,Tm,Detail,PHI,CIN
0,1.0,,Bengals,Carl Pickens 14 yard pass from Jeff Blake (Doug Pelfrey kick),0,7
1,1.0,,Eagles,Eddie Murray 34 yard field goal,3,7
2,2.0,,Bengals,Doug Pelfrey 18 yard field goal,3,10
3,2.0,,Eagles,Herschel Walker 94 yard kickoff return (Eddie Murray kick),10,10
4,2.0,2:59,Eagles,James Joseph 7 yard pass from Bubby Brister (Eddie Murray kick),17,10
5,2.0,2:59,Eagles,Eddie Murray 23 yard field goal,20,10
6,3.0,2:59,Eagles,Mike Zordich 18 yard interception return (Eddie Murray kick),27,10
7,3.0,2:59,Bengals,Harold Green 5 yard rush (Doug Pelfrey kick),27,17
8,3.0,2:59,Bengals,Doug Pelfrey 36 yard field goal,27,20
9,4.0,2:59,Eagles,Eddie Murray 35 yard field goal,30,20
10,4.0,2:59,Bengals,Tony McGee 8 yard pass from Jeff Blake (Doug Pelfrey kick),30,27
11,4.0,2:59,Bengals,Doug Pelfrey 22 yard field goal,30,30
12,4.0,3:32,Bengals,Doug Pelfrey 54 yard field goal,30,33
