,Quarter,Tm,Detail,CIN,CLE
0,1,Bengals,Don Bass 51 yard pass from John Reaves (Chris Bahr kick),7,0
1,2,Bengals,Chris Bahr 37 yard field goal,10,0
2,3,Browns,Don Cockroft 32 yard field goal,10,3
3,4,Browns,Reggie Rucker 13 yard pass from Brian Sipe (Don Cockroft kick),10,10
4,OT,Browns,Don Cockroft 27 yard field goal,10,13
