,Quarter,Tm,Detail,STL,PIT
0,1.0,Cardinals,Jim Bakken 37 yard field goal,3,0
1,1.0,Cardinals,Jim Bakken 17 yard field goal,6,0
2,1.0,Cardinals,Jim Bakken 12 yard field goal,9,0
3,1.0,Steelers,Mike Clark 40 yard field goal,9,3
4,2.0,Steelers,Andy Russell 14 yard blocked punt return (Mike Clark kick),9,10
5,2.0,Steelers,Mike Clark 33 yard field goal,9,13
6,3.0,Steelers,Mike Clark 22 yard field goal,9,16
7,4.0,Steelers,John Hilton 11 yard pass from Ron Smith (Mike Clark kick),9,23
8,4.0,Steelers,Roy Jefferson 42 yard pass from Dick Hoak (Mike Clark kick),9,30
