,Quarter,Time,Tm,Detail,DEN,CIN
0,1.0,,Bengals,Doug Pelfrey 25 yard field goal,0,3
1,1.0,,Broncos,Jason Elam 33 yard field goal,3,3
2,2.0,,Bengals,Doug Pelfrey 23 yard field goal,3,6
3,2.0,,Broncos,Jason Elam 37 yard field goal,6,6
4,2.0,1:02,Bengals,Damon Gibson 17 yard pass from Neil O'Donnell,6,12
5,3.0,1:02,Broncos,Willie Green 17 yard pass from John Elway (Jason Elam kick),13,12
6,4.0,1:02,Bengals,James Hundon 11 yard pass from Neil O'Donnell (pass failed),13,18
7,4.0,1:02,Broncos,Terrell Davis 2 yard rush (run failed),19,18
8,4.0,1:02,Broncos,Ed McCaffrey 25 yard pass from John Elway (Jason Elam kick),26,18
9,4.0,1:02,Bengals,Marco Battaglia 1 yard pass from Neil O'Donnell (Carl Pickens pass from Neil O'Donnell),26,26
10,4.0,1:03,Broncos,Terrell Davis 5 yard rush (Jason Elam kick),33,26
