,Quarter,Tm,Detail,RCH,BUF
0,2.0,Bisons,Benny Boynton 15 yard field goal,0,3
1,2.0,Bisons,Benny Boynton 15 yard pass from Eddie Kaw (Benny Boynton kick),0,10
2,2.0,Bisons,Benny Boynton 30 yard field goal,0,13
3,3.0,Bisons,Benny Boynton 78 yard punt return,0,19
4,4.0,Bisons,Al Guarnieri unknown yard pass from Benny Boynton (Benny Boynton kick),0,26
