,Quarter,Tm,Detail,POT,FRN
0,2.0,Yellow Jackets,Bull Behman 25 yard field goal,0,3
1,3.0,Yellow Jackets,Charlie Carton 18 yard pass from Hust Stockton (Bull Behman kick),0,10
2,3.0,Yellow Jackets,Bull Behman 20 yard field goal,0,13
3,4.0,Yellow Jackets,Bob Fitzke 1 yard rush (Bull Behman kick),0,20
