,Quarter,Tm,Detail,KAN,OAK
0,1.0,Raiders,Pete Banaszak 5 yard rush (George Blanda kick),0,7
1,1.0,Chiefs,Jan Stenerud 35 yard field goal,3,7
2,2.0,Chiefs,Jan Stenerud 29 yard field goal,6,7
3,2.0,Chiefs,Barry Pearson 5 yard pass from Tony Adams (Jan Stenerud kick),13,7
4,2.0,Raiders,Pete Banaszak 3 yard rush (George Blanda kick),13,14
5,2.0,Raiders,Morris Bradshaw 16 yard pass from Ken Stabler (George Blanda kick),13,21
6,4.0,Chiefs,Jeff Kinney 1 yard rush (Jan Stenerud kick),20,21
7,4.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),20,28
