,Quarter,Time,Tm,Detail,HOU,JAX
0,1,,Oilers,Haywood Jeffires 4 yard pass from Chris Chandler (Al Del Greco kick),7,0
1,3,,Oilers,Al Del Greco 19 yard field goal,10,0
2,4,,Jaguars,Mike Hollis 26 yard field goal,10,3
