,Quarter,Tm,Detail,PRT,CHI
0,1.0,Bears,Jack Manders 17 yard field goal,0,3
1,1.0,Bears,Bill Karr 34 yard pass from Bill Hewitt (Jack Manders kick),0,10
2,2.0,Spartans,Ernie Caddel unknown yard pass from Glenn Presnell (Glenn Presnell kick),7,10
3,4.0,Spartans,Ernie Caddel unknown yard rush (Glenn Presnell kick),14,10
4,4.0,Bears,Bronko Nagurski 29 yard rush (Jack Manders kick),14,17
