,Quarter,Tm,Detail,BAL,SFO
0,1.0,Colts,Jim Martin 34 yard field goal,3,0
1,2.0,49ers,Bernie Casey 44 yard pass from John Brodie (Tommy Davis kick),3,7
2,3.0,Colts,Jerry Hill 1 yard rush (Jim Martin kick),10,7
3,3.0,49ers,Bernie Casey 8 yard pass from John Brodie (Tommy Davis kick),10,14
4,4.0,Colts,Jimmy Orr 2 yard pass from Johnny Unitas (Jim Martin kick),17,14
5,4.0,Colts,Jim Martin 39 yard field goal,20,14
