,Quarter,Time,Tm,Detail,SDG,WAS
0,2,11:35,Chargers,Sean Lissemore interception in end zone (Nick Novak kick),7,0
1,2,5:25,Redskins,Alfred Morris 5 yard rush (Kai Forbath kick),7,7
2,2,0:42,Chargers,Eddie Royal 15 yard pass from Philip Rivers (Nick Novak kick),14,7
3,3,9:43,Redskins,Darrel Young 1 yard rush (Kai Forbath kick),14,14
4,4,14:17,Redskins,Darrel Young 1 yard rush (Kai Forbath kick),14,21
5,4,6:59,Redskins,Kai Forbath 47 yard field goal,14,24
6,4,4:10,Chargers,Keenan Allen 16 yard pass from Philip Rivers (Nick Novak kick),21,24
7,4,0:03,Chargers,Nick Novak 19 yard field goal,24,24
8,OT,8:59,Redskins,Darrel Young 4 yard rush,24,30
