,Quarter,Time,Tm,Detail,CLE,ATL
0,1.0,5:53,Falcons,Julio Jones 24 yard pass from Matt Ryan (Matt Bryant kick),0,7
1,1.0,1:33,Browns,Isaiah Crowell 11 yard rush (Billy Cundiff kick),7,7
2,2.0,13:17,Browns,Billy Cundiff 33 yard field goal,10,7
3,2.0,9:20,Browns,Billy Cundiff 37 yard field goal,13,7
4,2.0,0:55,Falcons,Jacquizz Rodgers 8 yard pass from Matt Ryan (Matt Bryant kick),13,14
5,3.0,9:46,Browns,Billy Cundiff 32 yard field goal,16,14
6,3.0,0:46,Browns,Isaiah Crowell 26 yard rush (Billy Cundiff kick),23,14
7,4.0,9:31,Falcons,Steven Jackson 1 yard rush (Matt Bryant kick),23,21
8,4.0,0:44,Falcons,Matt Bryant 53 yard field goal,23,24
9,4.0,0:00,Browns,Billy Cundiff 37 yard field goal,26,24
