,Quarter,Tm,Detail,CLE,STL
0,2.0,Cardinals,Norm Thompson 56 yard interception return (Jim Bakken kick),0,7
1,3.0,Cardinals,Terry Metcalf 94 yard kickoff return (Jim Bakken kick),0,14
2,3.0,Browns,Gloster Richardson 55 yard pass from Greg Pruitt (Don Cockroft kick),7,14
3,3.0,Cardinals,Mel Gray 68 yard pass from Jim Hart,7,20
4,3.0,Cardinals,Jim Bakken 44 yard field goal,7,23
5,3.0,Cardinals,Donny Anderson 1 yard rush,7,29
