,Quarter,Time,Tm,Detail,CIN,WAS
0,1.0,5:37,Bengals,Rudi Johnson 1 yard rush (Shayne Graham kick),7,0
1,2.0,12:26,Bengals,Tony Stewart 1 yard pass from Carson Palmer (Shayne Graham kick),14,0
2,2.0,7:28,Bengals,Shayne Graham 41 yard field goal,17,0
3,4.0,5:46,Redskins,Ola Kimrin 33 yard field goal,17,3
4,4.0,2:22,Redskins,Chris Cooley 9 yard pass from Patrick Ramsey (Ola Kimrin kick),17,10
