,Quarter,Time,Tm,Detail,CLE,TEN
0,1.0,10:16,Browns,JaJuan Dawson 33 yard pass from Tim Couch (Phil Dawson kick),7,0
1,1.0,4:58,Titans,Mike Green 17 yard rush (Joe Nedney kick),7,7
2,1.0,4:23,Browns,O.J. Santiago 20 yard pass from Tim Couch (Phil Dawson kick),14,7
3,1.0,1:00,Titans,Kevin Dyson 40 yard pass from Steve McNair (Joe Nedney kick),14,14
4,2.0,6:00,Browns,Phil Dawson 30 yard field goal,17,14
5,2.0,4:56,Titans,Derrick Mason 59 yard pass from Steve McNair (Joe Nedney kick),17,21
6,2.0,1:52,Browns,Jamel White 1 yard rush (Phil Dawson kick),24,21
7,2.0,0:00,Titans,Joe Nedney 31 yard field goal,24,24
8,3.0,8:59,Titans,Eddie George 7 yard rush (Joe Nedney kick),24,31
9,4.0,14:43,Titans,Eddie George 20 yard rush (Joe Nedney kick),24,38
10,4.0,9:21,Browns,Jamel White 2 yard rush (Phil Dawson kick),31,38
11,4.0,5:37,Browns,Kevin Johnson 4 yard pass from Tim Couch (Phil Dawson kick),38,38
12,4.0,0:55,Browns,Phil Dawson 44 yard field goal,41,38
