,Quarter,Time,Tm,Detail,NYG,TAM
0,1,8:05,Giants,Brandon Jacobs 6 yard rush (Lawrence Tynes kick),7,0
1,2,14:54,Giants,Steve Smith 4 yard pass from Eli Manning (Lawrence Tynes kick),14,0
2,3,5:48,Giants,Lawrence Tynes 26 yard field goal,17,0
3,4,12:26,Giants,Sinorice Moss 18 yard pass from Eli Manning (Lawrence Tynes kick),24,0
