,Quarter,Time,Tm,Detail,CAR,ATL
0,1.0,2:51,Falcons,Younghoe Koo 37 yard field goal,0,3
1,2.0,14:56,Panthers,Joey Slye 46 yard field goal,3,3
2,2.0,5:22,Falcons,Calvin Ridley 15 yard pass from Matt Ryan (Younghoe Koo kick),3,10
3,2.0,1:10,Panthers,Ian Thomas 1 yard pass from Kyle Allen (Joey Slye kick),10,10
4,2.0,0:02,Falcons,Younghoe Koo 35 yard field goal,10,13
5,3.0,11:16,Falcons,Devonta Freeman 13 yard rush (Younghoe Koo kick),10,20
6,3.0,6:45,Falcons,Olamide Zaccheaus 93 yard pass from Matt Ryan (Younghoe Koo kick),10,27
7,3.0,4:59,Falcons,Younghoe Koo 29 yard field goal,10,30
8,4.0,11:44,Falcons,Younghoe Koo 50 yard field goal,10,33
9,4.0,7:59,Panthers,Joey Slye 42 yard field goal,13,33
10,4.0,5:12,Falcons,Brian Hill 3 yard rush (Younghoe Koo kick),13,40
11,4.0,1:31,Panthers,Kyle Allen 1 yard rush (Joey Slye kick),20,40
