,Quarter,Time,Tm,Detail,SFO,ARI
0,1.0,4:39,49ers,David Akers 46 yard field goal,3,0
1,2.0,14:02,49ers,David Akers 22 yard field goal,6,0
2,2.0,7:10,Cardinals,Early Doucet 60 yard pass from John Skelton (Jay Feely kick),6,7
3,2.0,1:58,49ers,David Akers 27 yard field goal,9,7
4,2.0,0:00,49ers,David Akers 22 yard field goal,12,7
5,3.0,12:24,49ers,Frank Gore 37 yard rush (David Akers kick),19,7
6,3.0,9:04,Cardinals,Larry Fitzgerald 46 yard pass from John Skelton (Jay Feely kick),19,14
7,4.0,11:50,Cardinals,Andre Roberts 3 yard pass from John Skelton (Jay Feely kick),19,21
