,Quarter,Tm,Detail,HOU,NYG
0,1.0,Giants,Pete Gogolak 44 yard field goal,0,3
1,1.0,Giants,Pete Gogolak 11 yard field goal,0,6
2,2.0,Giants,Ron Johnson 1 yard rush (Pete Gogolak kick),0,13
3,2.0,Giants,Don Herrmann 14 yard pass from Norm Snead (Pete Gogolak kick),0,20
4,2.0,Giants,Ron Johnson 1 yard rush (Pete Gogolak kick),0,27
5,3.0,Oilers,Dave Parks 7 yard pass from Dan Pastorini (Skip Butler kick),7,27
6,3.0,Oilers,Ken Burrough 49 yard pass from Dan Pastorini (Skip Butler kick),14,27
7,4.0,Giants,Joe Orduna 1 yard rush (Pete Gogolak kick),14,34
