,Quarter,Tm,Detail,NWE,STL
0,1.0,Patriots,John Smith 24 yard field goal,3,0
1,2.0,Patriots,Steve Grogan 5 yard rush (John Smith kick),10,0
2,2.0,Patriots,Russ Francis 24 yard pass from Steve Grogan,16,0
3,3.0,Cardinals,Jimmy Childs 8 yard pass from Jim Hart,16,6
