,Quarter,Tm,Detail,TAM,PHO
0,1,Cardinals,Greg Davis 21 yard field goal,0,3
1,2,Buccaneers,Mark Carrier 23 yard pass from Vinny Testaverde (Eddie Murray kick),7,3
