,Quarter,Time,Tm,Detail,WAS,DAL
0,1.0,,Cowboys,Richie Cunningham 34 yard field goal,0,3
1,1.0,,Redskins,Leslie Shepherd 6 yard pass from Trent Green (Cary Blanchard kick),7,3
2,2.0,,Cowboys,Emmitt Smith 1 yard rush (Richie Cunningham kick),7,10
3,2.0,,Cowboys,Emmitt Smith 26 yard rush (Richie Cunningham kick),7,17
4,2.0,0:29,Cowboys,Richie Cunningham 23 yard field goal,7,20
5,4.0,0:29,Cowboys,Richie Cunningham 26 yard field goal,7,23
