,Quarter,Tm,Detail,CHI,DAL
0,2.0,Cowboys,Amos Bullocks 22 yard pass from Don Meredith,0,6
1,2.0,Bears,Mike Ditka 16 yard pass from Billy Wade (Roger LeClerc kick),7,6
2,2.0,Cowboys,Lee Folkins 15 yard pass from Don Meredith (Sam Baker kick),7,13
3,2.0,Bears,Roger LeClerc 21 yard field goal,10,13
4,3.0,Cowboys,Sam Baker 36 yard field goal,10,16
5,3.0,Bears,Joe Marconi 1 yard rush (Roger LeClerc kick),17,16
6,3.0,Cowboys,Sam Baker 37 yard field goal,17,19
7,3.0,Cowboys,Billy Howton 26 yard pass from Don Meredith (Sam Baker kick),17,26
8,4.0,Bears,Billy Wade 1 yard rush (Roger LeClerc kick),24,26
9,4.0,Cowboys,Amos Bullocks 73 yard rush (Sam Baker kick),24,33
10,4.0,Bears,Johnny Morris 45 yard pass from Billy Wade (Roger LeClerc kick),31,33
11,4.0,Bears,Roger LeClerc 15 yard field goal,34,33
