,Quarter,Time,Tm,Detail,JAX,TEN
0,2.0,6:39,Titans,Ryan Tannehill 21 yard rush (Ryan Succop kick),0,7
1,2.0,1:55,Jaguars,Josh Lambo 49 yard field goal,3,7
2,3.0,13:16,Titans,Dennis Kelly 1 yard pass from Ryan Tannehill (Ryan Succop kick),3,14
3,3.0,10:51,Titans,Derrick Henry 74 yard rush (Ryan Succop kick),3,21
4,3.0,10:30,Titans,Derrick Henry 7 yard rush (Ryan Succop kick),3,28
5,3.0,7:07,Titans,A.J. Brown 65 yard pass from Ryan Tannehill (Ryan Succop kick),3,35
6,3.0,2:26,Jaguars,Leonard Fournette 1 yard rush (DJ Chark pass from Nick Foles),11,35
7,4.0,11:52,Jaguars,Leonard Fournette 1 yard rush (pass failed),17,35
8,4.0,9:54,Titans,Ryan Tannehill 3 yard rush (Ryan Succop kick),17,42
9,4.0,4:53,Jaguars,Josh Lambo 50 yard field goal,20,42
