,Quarter,Tm,Detail,RAM,BAL
0,1.0,Rams,Bruce Gossett 19 yard field goal,3,0
1,1.0,Colts,Jerry Hill 1 yard rush,3,6
2,1.0,Colts,Earl Morrall 1 yard rush (Lou Michaels kick),3,13
3,2.0,Colts,Jimmy Orr 44 yard pass from Earl Morrall (Lou Michaels kick),3,20
4,3.0,Colts,Tom Mitchell 41 yard pass from Earl Morrall (Lou Michaels kick),3,27
5,3.0,Rams,Bernie Casey 1 yard pass from Roman Gabriel (Bruce Gossett kick),10,27
