,Quarter,Tm,Detail,ATL,TAM
0,1.0,Falcons,"Safety, punt blocked out of end zone",2,0
1,1.0,Buccaneers,Mike Washington 79 yard blocked field goal return (Neil O'Donoghue kick),2,7
2,3.0,Falcons,Alfred Jackson 5 yard pass from Steve Bartkowski (Fred Steinfort kick),9,7
3,4.0,Buccaneers,Jim Obradovich 15 yard pass from Doug Williams (Neil O'Donoghue kick),9,14
