,Quarter,Tm,Detail,FRN,PRV
0,1.0,Steam Roller,Jim Laird unknown yard rush (Red Maloney kick),0,7
1,2.0,Steam Roller,Red Maloney 28 yard field goal,0,10
2,3.0,Steam Roller,Red Maloney 17 yard field goal,0,13
3,3.0,Steam Roller,Archie Golembeski 96 yard fumble return (Jim Laird kick),0,20
4,4.0,Yellow Jackets,Two-Bits Homan 13 yard pass from Hust Stockton (Bull Behman kick),7,20
