,Quarter,Tm,Detail,DET,CLE
0,1.0,Lions,Doak Walker 36 yard field goal,3,0
1,1.0,Browns,Ray Renfro 35 yard pass from Otto Graham (Lou Groza kick),3,7
2,1.0,Browns,Pete Brewster 8 yard pass from Otto Graham (Lou Groza kick),3,14
3,2.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),3,21
4,2.0,Lions,Bill Bowman 5 yard rush (Doak Walker kick),10,21
5,2.0,Browns,Otto Graham 5 yard rush (Lou Groza kick),10,28
6,2.0,Browns,Ray Renfro 31 yard pass from Otto Graham (Lou Groza kick),10,35
7,3.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),10,42
8,3.0,Browns,Fred Morrison 12 yard rush (Lou Groza kick),10,49
9,4.0,Browns,Chet Hanulak 10 yard rush (Lou Groza kick),10,56
