,Quarter,Time,Tm,Detail,STL,GNB
0,1.0,6:53,Packers,Mason Crosby 32 yard field goal,0,3
1,2.0,13:53,Packers,James Jones 35 yard pass from Aaron Rodgers (Mason Crosby kick),0,10
2,2.0,9:11,Packers,Jordy Nelson 93 yard pass from Aaron Rodgers (Mason Crosby kick),0,17
3,2.0,1:51,Packers,Donald Driver 7 yard pass from Aaron Rodgers (Mason Crosby kick),0,24
4,2.0,0:03,Rams,Josh Brown 36 yard field goal,3,24
