,Quarter,Tm,Detail,SFO,ATL
0,1.0,49ers,Tommy Davis 29 yard field goal,3,0
1,1.0,Falcons,Bob Etter 16 yard field goal,3,3
2,2.0,49ers,"Safety, center snap out of end zone",5,3
3,2.0,Falcons,Jim Mitchell 13 yard pass from Bob Berry (Bob Etter kick),5,10
4,3.0,Falcons,Jim Mitchell 42 yard pass from Bob Berry (Bob Etter kick),5,17
5,4.0,Falcons,Paul Gipson 9 yard rush (Bob Etter kick),5,24
6,4.0,49ers,Ken Willard 1 yard rush (Tommy Davis kick),12,24
