,Quarter,Tm,Detail,BAL,STL
0,1.0,Cardinals,J.V. Cain 5 yard pass from Jim Hart (Jim Bakken kick),0,7
1,1.0,Colts,Lydell Mitchell 1 yard rush (Toni Linhart kick),7,7
2,1.0,Cardinals,Terry Metcalf 41 yard pass from Jim Hart (Jim Bakken kick),7,14
3,2.0,Colts,Toni Linhart 22 yard field goal,10,14
4,2.0,Cardinals,Steve Jones 4 yard rush (Jim Bakken kick),10,21
5,3.0,Colts,Raymond Chester 30 yard pass from Bert Jones (Toni Linhart kick),17,21
6,4.0,Cardinals,Jim Bakken 22 yard field goal,17,24
