,Quarter,Tm,Detail,MIN,CLE
0,1.0,Browns,Lou Groza 20 yard field goal,0,3
1,1.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),7,3
2,2.0,Browns,Ernie Green 1 yard rush (Lou Groza kick),7,10
3,2.0,Vikings,Tommy Mason 72 yard pass from Fran Tarkenton (Fred Cox kick),14,10
4,2.0,Vikings,Bill Brown 2 yard pass from Fran Tarkenton (Fred Cox kick),21,10
5,4.0,Vikings,Fred Cox 30 yard field goal,24,10
6,4.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),24,17
7,4.0,Vikings,Fred Cox 18 yard field goal,27,17
