,Quarter,Tm,Detail,BUF,SFO
0,1.0,49ers,Odessa Turner 23 yard pass from Steve Young (Mike Cofer kick),0,7
1,1.0,Bills,Steve Christie 41 yard field goal,3,7
2,2.0,49ers,Tom Rathman 2 yard rush (Mike Cofer kick),3,14
3,2.0,Bills,Thurman Thomas 20 yard pass from Jim Kelly (Steve Christie kick),10,14
4,2.0,49ers,Mike Cofer 24 yard field goal,10,17
5,2.0,Bills,Steve Christie 28 yard field goal,13,17
6,2.0,49ers,John Taylor 7 yard pass from Steve Young (Mike Cofer kick),13,24
7,3.0,Bills,Pete Metzelaars 53 yard pass from Jim Kelly (Steve Christie kick),20,24
8,3.0,Bills,Pete Metzelaars 24 yard pass from Jim Kelly (Steve Christie kick),27,24
9,3.0,49ers,John Taylor 54 yard pass from Steve Young (Mike Cofer kick),27,31
10,4.0,Bills,Thurman Thomas 11 yard rush (Steve Christie kick),34,31
