,Quarter,Tm,Detail,NOR,PIT
0,1.0,Steelers,Rod Woodson 63 yard interception return (Gary Anderson kick),0,7
1,1.0,Steelers,Barry Foster 20 yard pass from Neil O'Donnell (Gary Anderson kick),0,14
2,2.0,Steelers,Gary Anderson 40 yard field goal,0,17
3,2.0,Steelers,Barry Foster 1 yard rush (Gary Anderson kick),0,24
4,3.0,Steelers,Gary Anderson 22 yard field goal,0,27
5,3.0,Steelers,Gary Anderson 29 yard field goal,0,30
6,4.0,Steelers,Eric Green 26 yard pass from Mike Tomczak (Gary Anderson kick),0,37
7,4.0,Saints,Torrance Small 3 yard pass from Mike Buck (Morten Andersen kick),7,37
8,4.0,Saints,Quinn Early 63 yard pass from Mike Buck (Morten Andersen kick),14,37
