,Quarter,Tm,Detail,RAM,STL
0,1.0,Rams,Mike Lansford 33 yard field goal,3,0
1,1.0,Cardinals,Neil O'Donoghue 49 yard field goal,3,3
2,2.0,Cardinals,Roy Green 53 yard pass from Neil Lomax (Neil O'Donoghue kick),3,10
3,2.0,Cardinals,Neil O'Donoghue 43 yard field goal,3,13
4,3.0,Rams,Ron Brown 52 yard pass from Jeff Kemp (Mike Lansford kick),10,13
5,3.0,Rams,Mike Lansford 27 yard field goal,13,13
6,4.0,Rams,Mike Lansford 32 yard field goal,16,13
