,Quarter,Tm,Detail,NYG,BOS
0,1.0,Giants,Pete Gogolak 14 yard field goal,3,0
1,2.0,Giants,Clifton McNeil 28 yard pass from Fran Tarkenton (Pete Gogolak kick),10,0
2,4.0,Giants,Pete Gogolak 18 yard field goal,13,0
3,4.0,Giants,Pete Gogolak 22 yard field goal,16,0
