,Quarter,Tm,Detail,MIN,GNB
0,1.0,Packers,Chester Marcol 41 yard field goal,0,3
1,1.0,Packers,Carroll Dale 6 yard pass from Scott Hunter (Chester Marcol kick),0,10
2,2.0,Vikings,Fred Cox 22 yard field goal,3,10
3,3.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),10,10
4,3.0,Packers,Chester Marcol 34 yard field goal,10,13
5,4.0,Vikings,Fred Cox 32 yard field goal,13,13
6,4.0,Vikings,Paul Krause 32 yard interception return (Fred Cox kick),20,13
7,4.0,Vikings,Wally Hilgenberg 14 yard interception return (Fred Cox kick),27,13
