,Quarter,Time,Tm,Detail,SFO,DET
0,1.0,,Lions,Brett Perriman 33 yard pass from Scott Mitchell (Jason Hanson kick),0,7
1,2.0,,Lions,Barry Sanders 9 yard rush (Jason Hanson kick),0,14
2,2.0,,49ers,William Floyd 1 yard rush (Doug Brien kick),7,14
3,2.0,,49ers,Ricky Watters 4 yard rush (Doug Brien kick),14,14
4,3.0,,49ers,William Floyd 1 yard rush (Doug Brien kick),21,14
5,4.0,,49ers,Nate Singleton 5 yard pass from Steve Young,27,14
6,4.0,,Lions,Herman Moore 26 yard pass from Scott Mitchell (Jason Hanson kick),27,21
