,Quarter,Time,Tm,Detail,CLE,DAL
0,1,4:01,Browns,Ben Watson 10 yard pass from Brandon Weeden (Phil Dawson kick),7,0
1,2,12:09,Browns,Phil Dawson 51 yard field goal,10,0
2,2,5:07,Browns,Phil Dawson 37 yard field goal,13,0
3,3,4:16,Cowboys,Dan Bailey 44 yard field goal,13,3
4,4,13:49,Cowboys,Felix Jones 2 yard rush (Dan Bailey kick),13,10
5,4,6:46,Cowboys,Dez Bryant 28 yard pass from Tony Romo (Dan Bailey kick),13,17
6,4,1:07,Browns,Ben Watson 17 yard pass from Brandon Weeden (Phil Dawson kick),20,17
7,4,0:02,Cowboys,Dan Bailey 32 yard field goal,20,20
8,OT,6:07,Cowboys,Dan Bailey 38 yard field goal,20,23
