,Quarter,Tm,Detail,CRD,DET
0,2.0,Lions,Dutch Clark 17 yard field goal,0,3
1,2.0,Lions,Dutch Clark 26 yard rush (Regis Monahan kick),0,10
2,2.0,Lions,Regis Monahan 13 yard field goal,0,13
3,4.0,Lions,Regis Monahan 22 yard field goal,0,16
4,4.0,Cardinals,George Grosvenor 1 yard rush (Buddy Parker kick),7,16
