,Quarter,Tm,Detail,DAL,NYJ
0,2.0,Cowboys,Michael Irvin 42 yard pass from Troy Aikman (Eddie Murray kick),7,0
1,3.0,Cowboys,Michael Irvin 3 yard pass from Troy Aikman (Eddie Murray kick),14,0
2,3.0,Cowboys,Kevin Smith 32 yard interception return (Eddie Murray kick),21,0
3,4.0,Jets,Brad Baxter 1 yard rush (Cary Blanchard kick),21,7
4,4.0,Cowboys,Daryl Johnston 4 yard rush (Eddie Murray kick),28,7
