,Quarter,Tm,Detail,RAM,ATL
0,1.0,Falcons,Scott Case 36 yard interception return (Greg Davis kick),0,7
1,1.0,Falcons,Greg Davis 21 yard field goal,0,10
2,1.0,Rams,Cleveland Gary 7 yard rush (Mike Lansford kick),7,10
3,2.0,Falcons,Mike Rozier 11 yard rush (Greg Davis kick),7,17
4,2.0,Rams,Mike Lansford 19 yard field goal,10,17
5,2.0,Falcons,Greg Davis 23 yard field goal,10,20
6,3.0,Rams,Mike Lansford 25 yard field goal,13,20
