,Quarter,Tm,Detail,KAN,OAK
0,1.0,Raiders,Errol Mann 31 yard field goal,0,3
1,2.0,Chiefs,Tim Collier 100 yard interception return (Jan Stenerud kick),7,3
2,2.0,Raiders,Errol Mann 19 yard field goal,7,6
3,3.0,Chiefs,Mark Bailey 37 yard rush (Jan Stenerud kick),14,6
4,3.0,Chiefs,Tim Gray 14 yard defensive fumble return,20,6
5,3.0,Raiders,Carl Garrett 5 yard rush,20,12
6,3.0,Raiders,Carl Garrett 4 yard pass from Mike Rae,20,18
7,4.0,Raiders,Errol Mann 28 yard field goal,20,21
