,Quarter,Tm,Detail,PRT,CHI
0,1.0,Bears,Red Grange 2 yard rush (Luke Johnsos kick),0,7
1,2.0,Bears,Luke Johnsos 22 yard pass from Red Grange (Luke Johnsos kick),0,14
2,2.0,Spartans,Bill Glassgow 5 yard rush,6,14
